Subject,label
subject103,1.0
subject105,1.0
subject106,1.0
subject107,1.0
subject108,1.0
subject109,1.0
subject11,1.0
subject110,1.0
subject111,1.0
subject112,1.0
subject113,1.0
subject114,1.0
subject115,1.0
subject116,1.0
subject117,1.0
subject118,1.0
subject119,1.0
subject12,1.0
subject120,0.9
subject121,1.0
subject122,0.9
subject123,0.9
subject124,1.0
subject125,1.0
subject126,1.0
subject127,1.0
subject128,1.0
subject129,1.0
subject13,1.0
subject130,1.0
subject132,1.0
subject133,1.0
subject134,1.0
subject135,1.0
subject136,0.5
subject137,0.5
subject14,1.0
subject141,0.0
subject142,0.4
subject143,0.0
subject144,0.0
subject145,0.1
subject146,0.0
subject147,0.0
subject148,0.0
subject149,0.0
subject15,0.9
subject150,0.0
subject151,0.0
subject152,0.2
subject153,0.0
subject154,0.1
subject155,0.2
subject156,0.0
subject157,0.1
subject158,0.0
subject159,0.1
subject16,1.0
subject160,0.2
subject161,0.0
subject162,0.1
subject163,0.0
subject164,0.2
subject165,0.5
subject166,0.2
subject167,0.0
subject168,0.2
subject169,0.0
subject17,1.0
subject170,0.1
subject171,0.0
subject172,0.0
subject173,0.4
subject174,0.1
subject175,0.0
subject176,0.4
subject177,0.2
subject178,0.1
subject179,0.2
subject18,0.9
subject180,0.0
subject181,0.1
subject182,0.1
subject183,0.2
subject184,0.0
subject185,0.5
subject186,0.3
subject187,0.1
subject188,0.0
subject189,0.2
subject19,0.7
subject190,0.1
subject191,0.1
subject192,0.1
subject193,0.1
subject194,0.1
subject195,0.1
subject196,0.1
subject197,0.1
subject198,0.1
subject199,0.3
subject2,1.0
subject20,1.0
subject200,0.2
subject201,0.3
subject202,0.0
subject203,0.0
subject204,0.0
subject205,0.0
subject206,0.0
subject207,0.1
subject208,0.0
subject209,0.0
subject21,1.0
subject210,0.1
subject211,0.0
subject212,0.3
subject213,0.1
subject214,0.0
subject215,0.5
subject216,0.0
subject217,0.0
subject218,0.0
subject219,0.2
subject22,0.8
subject220,0.0
subject221,0.2
subject222,0.3
subject223,0.3
subject224,0.0
subject225,0.1
subject226,0.3
subject227,0.1
subject228,0.2
subject229,0.3
subject23,1.0
subject230,0.0
subject231,0.0
subject232,0.1
subject233,0.0
subject234,0.3
subject235,0.8
subject236,0.4
subject237,0.2
subject238,0.0
subject239,0.1
subject24,1.0
subject240,0.3
subject241,0.1
subject242,0.1
subject243,0.3
subject244,0.4
subject245,0.4
subject25,1.0
subject259,0.5
subject26,0.5
subject27,0.9
subject271,0.5
subject273,0.5
subject279,0.6
subject28,1.0
subject280,0.5
subject285,0.6
subject29,1.0
subject3,1.0
subject30,1.0
subject31,1.0
subject32,1.0
subject33,1.0
subject334,0.8
subject335,1.0
subject34,0.9
subject35,0.9
subject36,0.9
subject37,1.0
